Depth Fanout Weight
2 10 2.0574
2 25 2.1187
2 26 2.1905
2 9 2.1864
2 27 2.0816
3 8 3.1999
3 7 3.0015
2 28 2.0594
2 29 2.1218
2 30 2.1791
3 6 3.1567
2 8 2.1425
4 5 4.3979
4 6 4.3791
2 7 2.0856
3 5 3.1518
2 6 2.1107
2 5 2.0281


Depth Fanout Weight
3 10 3.2095
3 9 3.0329
3 18 3.2284
3 19 3.152
4 8 4.0097
4 7 4.0627
3 20 3.0728
3 8 3.043
5 5 5.404
5 6 5.0236
4 6 4.3399
3 7 3.052
2 8 2.0404
2 7 2.0426
2 9 2.1921
2 6 2.0481
2 10 2.0056
3 6 3.0277
2 11 2.0716
4 5 4.0365
2 5 2.0006
2 12 2.0021
3 5 3.2556
2 13 2.1374
2 14 2.0872
2 15 2.0426
2 16 2.0803
2 17 2.1368
2 18 2.1975
2 19 2.1852
2 20 2.1989
